Repeat	Transcript	ReadID	polyA
WT_rep1	AT1G12090.1	d62e1147-7d6a-44b8-bf19-bc7ff4d0f558	FALSE
WT_rep1	AT1G12090.1	b9571a55-92ec-49db-a488-02df9f78daa2	FALSE
WT_rep1	AT1G12090.1	7da7ec73-bea4-4ec9-b284-9d4294cccaa1	FALSE
WT_rep1	AT1G12090.1	73b5764a-1cd5-4401-9235-443f428cb5cd	TRUE
WT_rep1	AT1G12090.1	2830218f-849d-46bb-8c17-dfa6516427c6	TRUE
WT_rep1	AT1G12090.1	c5141931-6cc5-4816-be3f-c5d31128a529	FALSE
WT_rep1	AT1G12090.1	ce710677-d6b8-4df6-9c1d-2ac173e35fd9	TRUE
WT_rep1	AT1G12090.1	911984fd-823a-4bad-a6de-db014739d0d4	TRUE
WT_rep1	AT1G12090.1	0e9a6910-7f49-4109-b0dd-da3dc7978eb7	FALSE
WT_rep1	AT1G12090.1	4344e74e-b6b1-4fdd-8686-c62352efae98	FALSE
WT_rep1	AT1G12090.1	9f641d48-1233-494d-ae04-bb39b5b448f6	FALSE
WT_rep1	AT1G12090.1	0ed618e8-e059-4017-b42b-aad668e839e4	TRUE
WT_rep1	AT1G12090.1	43b61b08-990e-4530-86ac-9f9bc0aae26f	TRUE
WT_rep1	AT1G12090.1	c8ba47e2-9b29-4c5d-8a8a-75e7b06c3602	TRUE
WT_rep1	AT1G12090.1	4e1fc725-dcc9-4c5d-af5f-7fc0dd5ed8fb	TRUE
WT_rep1	AT1G12090.1	57e43d3c-9b44-4942-a112-48a01c97a91f	FALSE
WT_rep1	AT1G12090.1	29e9a05a-1c38-4cc5-97db-67677a882f20	TRUE
WT_rep1	AT1G12090.1	44d6ca1e-fe9f-4c1c-953b-83aa882ba6ec	FALSE
WT_rep1	AT1G12090.1	d37c46aa-4267-42df-9e6e-40cea08f6761	FALSE
WT_rep1	AT1G12090.1	04049543-d2aa-4603-8d14-87b51c9f30f2	TRUE
WT_rep1	AT1G12090.1	98219283-4baf-44d9-b502-88319ece3f76	TRUE
WT_rep1	AT1G12090.1	50f37a8c-e289-4680-8c20-ae2c5d0a5fd9	FALSE
WT_rep1	AT1G12090.1	ad90305f-d35a-42e6-8dee-2af178a79d4c	FALSE
WT_rep1	AT1G12090.1	7aeb6405-b9d5-4e54-a9b5-f323fe46499e	FALSE
WT_rep1	AT1G12090.1	c48dab57-fe4a-4ee9-8d3a-90e3c23eff73	FALSE
WT_rep1	AT1G12090.1	c5907927-a082-4a0b-af3d-380bc076b282	FALSE
WT_rep1	AT1G12090.1	4ebc5eff-953e-4e7b-a999-845f16302728	FALSE
WT_rep1	AT1G12090.1	2e1d19ce-08e2-41db-96c4-1c37af463fe6	FALSE
WT_rep1	AT1G12090.1	7103efb3-46df-4262-893c-6def98fe376b	FALSE
WT_rep1	AT1G12090.1	fce94e6a-4bd4-4d37-8549-be9f3e8d1017	FALSE
WT_rep1	AT1G12090.1	8ec00d87-e139-4a54-b6c0-ca03bd809d87	FALSE
WT_rep1	AT1G12090.1	76a8a80a-f998-422e-9303-bd65c4fc2691	FALSE
WT_rep1	AT1G12090.1	b54d086c-fb88-49bf-8052-1a07a7c54689	FALSE
WT_rep1	AT1G12090.1	8fb75dce-3138-4785-a2a9-25ca643984f8	FALSE
WT_rep1	AT1G12090.1	54a36f60-272d-4dfb-980e-4f1fa9ee24b8	FALSE
WT_rep1	AT1G12090.1	73a23cac-be88-49da-ad06-7dbbd2bb5b37	FALSE
WT_rep1	AT1G12090.1	8e000282-ae4b-4f09-9e16-fde081677cc4	FALSE
WT_rep1	AT1G12090.1	0c43452c-efdf-40ab-b41f-92849c20e56e	FALSE
WT_rep1	AT1G12090.1	66e892b1-cb49-4156-8b9a-d6495a263321	FALSE
WT_rep1	AT1G12090.1	e6f983ce-40a2-46e8-aeff-07988d1d3ddc	FALSE
WT_rep1	AT1G12090.1	24563afa-dcaf-4c1f-b50f-5c4063aeed48	FALSE
WT_rep1	AT1G12090.1	c16d6ba4-7d0a-4b10-9aae-295c8fd620a3	FALSE
WT_rep1	AT1G12090.1	5b9fbc2a-b716-410f-81e9-2be4c37f0191	FALSE
WT_rep1	AT1G12090.1	e5d96f7c-b8ef-4bc4-a38d-8a3464885337	FALSE
WT_rep1	AT1G12090.1	36d1e2d5-97f8-4960-9b7d-d3dad2567cc6	FALSE
WT_rep1	AT1G12090.1	b2d11a8d-fcac-45b6-9f06-e9bc4c8fde1d	FALSE
WT_rep1	AT1G12090.1	72f34577-848a-4d0b-a8ee-3bac28cd09db	FALSE
WT_rep1	AT1G12090.1	955a9764-3e89-49fa-9223-14cca2c322b4	FALSE
WT_rep1	AT1G12090.1	f60ee1f9-fa66-4e7e-b758-629bcbc48e05	TRUE
WT_rep1	AT1G12090.1	766f1f60-f5c2-4cf2-94ba-0137b5681147	FALSE
WT_rep1	AT1G12090.1	1776960d-6220-4fd2-906f-9edc8d8ec6e5	FALSE
WT_rep1	AT1G12090.1	7155bd9c-51b9-44e3-97c8-2535242f708b	TRUE
WT_rep1	AT1G12090.1	69e9fa01-9b77-45c4-8b05-439cbbf6652b	FALSE
WT_rep1	AT1G12090.1	70e38bb7-0463-4647-abe7-9c47a0863c4d	FALSE
WT_rep1	AT1G12090.1	c02fb34e-8109-4304-9630-137b85c9a69c	FALSE
WT_rep1	AT1G12090.1	fc671fd1-cffc-4346-8061-0c9a0f326a95	FALSE
WT_rep1	AT1G12090.1	376a26a7-1369-4012-9d39-4970b7645f63	FALSE
WT_rep1	AT1G12090.1	705bece5-04b5-4e86-a4ed-36ef22ccfa8f	TRUE
WT_rep1	AT1G12090.1	5b5a3856-0e4b-4035-a597-d56680a088b0	TRUE
WT_rep1	AT1G12090.1	17ff0c99-47fa-40b0-b335-9a73ee77baa2	TRUE
WT_rep1	AT1G12090.1	dafca4ac-5507-4a18-a240-119e4ab5341a	FALSE
WT_rep1	AT1G12090.1	87345140-425d-49cb-89d1-2796319120e1	TRUE
WT_rep1	AT1G12090.1	dd8f18cf-3c90-4956-8edd-f3d8e908ab2a	TRUE
WT_rep1	AT1G12090.1	1bfb90d3-71b6-4a19-85d8-c7d6a4be9ccc	FALSE
WT_rep1	AT1G12090.1	52602a02-7bea-4885-affa-8ecbfd06da36	FALSE
WT_rep1	AT1G12090.1	aa0e3513-aae1-4c83-af54-912598821823	FALSE
WT_rep1	AT1G12090.1	f9071583-9464-46a3-8ec0-cdf83e016f87	TRUE
WT_rep1	AT1G12090.1	ca1df468-a049-47b6-9117-3b8ce1b2923f	TRUE
WT_rep1	AT1G12090.1	2d8c9ec7-21a2-4280-bc20-935148f8afc1	FALSE
WT_rep1	AT1G12090.1	4c6b1623-9091-492c-8bdc-9d5e01b3463e	FALSE
WT_rep1	AT1G12090.1	6fc20097-1579-4b96-af98-b55347a9eb25	FALSE
WT_rep1	AT1G12090.1	c7bf562a-4e2f-4327-82a1-b6b8e277e35e	TRUE
WT_rep1	AT1G12090.1	901b34e1-9107-4467-b060-a6bda442d5c5	FALSE
WT_rep1	AT1G12090.1	a43676d2-db21-42cb-8813-b3649c92c4f5	TRUE
WT_rep1	AT1G12090.1	70353a16-2b9c-4647-94ff-eb99fdbaf21c	TRUE
WT_rep1	AT1G12090.1	718a5e20-5f2f-4ff2-b5c6-4d2b41d04b40	FALSE
WT_rep1	AT1G12090.1	d5707614-8844-420f-98f7-b55f4ca6dcf9	FALSE
WT_rep1	AT1G12090.1	de73c1bd-783a-4bde-9721-433076c935ff	FALSE
WT_rep1	AT1G12090.1	359d7594-d6ac-4829-ad5a-cab05577d972	FALSE
WT_rep1	AT1G12090.1	0b0be9b4-991f-4bdb-b0a3-bb468b70750d	TRUE
WT_rep1	AT1G12090.1	581ca0d4-0cc1-4bde-8312-26ae3f48bd8a	TRUE
WT_rep1	AT1G12090.1	0a954227-576d-41fe-ac9e-f8c62f4c36de	TRUE
WT_rep1	AT1G12090.1	ed2840ac-c3bd-4b1e-bbfe-b8ee652d6c31	TRUE
WT_rep1	AT1G12090.1	23950a1d-25d7-45a7-b1b8-095b753b91df	FALSE
WT_rep1	AT1G12090.1	438e69fd-a2b8-4c6a-90a9-3fef1a5e61b5	TRUE
WT_rep1	AT1G12090.1	19506a08-bba0-4775-87ea-cba9e8b1e184	FALSE
